"NAME" "SEASON" "GAME_NUM" "DATE" "TEAM" "OPP" "THREE_PT" "THREE_PT_ATTEMPT" "THREE_PT_PCT"
"Ray Allen" "01-02" 1 "2001-10-30" "MIL" "UTA" 4 9 0
"Ray Allen" "01-02" 2 "2001-11-01" "MIL" "DEN" 8 9 0
"Ray Allen" "01-02" 3 "2001-11-03" "MIL" "BOS" 4 8 0
"Ray Allen" "01-02" 4 "2001-11-08" "MIL" "MIA" 1 7 0
"Ray Allen" "01-02" 5 "2001-11-10" "MIL" "MIN" 2 8 0
"Ray Allen" "01-02" 6 "2001-11-14" "MIL" "WAS" 2 5 0
"Ray Allen" "01-02" 7 "2001-11-17" "MIL" "UTA" 3 5 0
"Ray Allen" "01-02" 8 "2001-11-21" "MIL" "CHI" 3 4 0
"Ray Allen" "01-02" 9 "2001-11-22" "MIL" "TOR" 1 6 0
"Ray Allen" "01-02" 10 "2001-11-24" "MIL" "ATL" 2 6 0
"Ray Allen" "01-02" 11 "2001-11-27" "MIL" "LAL" 1 5 0
"Ray Allen" "01-02" 12 "2001-11-28" "MIL" "PHO" 1 4 0
"Ray Allen" "01-02" 13 "2001-11-30" "MIL" "POR" 3 8 0
"Ray Allen" "01-02" 14 "2001-12-02" "MIL" "SEA" 5 11 0
"Ray Allen" "01-02" 15 "2001-12-04" "MIL" "NYK" 1 14 0
"Ray Allen" "01-02" 16 "2001-12-06" "MIL" "TOR" 3 9 0
"Ray Allen" "01-02" 17 "2001-12-08" "MIL" "NJN" 4 5 0
"Ray Allen" "01-02" 18 "2001-12-11" "MIL" "MIA" 5 7 0
"Ray Allen" "01-02" 19 "2001-12-14" "MIL" "PHI" 1 5 0
"Ray Allen" "01-02" 20 "2001-12-15" "MIL" "IND" 1 5 0
"Ray Allen" "01-02" 21 "2001-12-18" "MIL" "MEM" 5 8 0
"Ray Allen" "01-02" 22 "2001-12-20" "MIL" "DAL" 2 9 0
"Ray Allen" "01-02" 23 "2002-01-05" "MIL" "LAC" 4 7 0
"Ray Allen" "01-02" 24 "2002-01-06" "MIL" "SAC" 7 13 0
"Ray Allen" "01-02" 25 "2002-01-08" "MIL" "GSW" 1 6 0
"Ray Allen" "01-02" 26 "2002-01-11" "MIL" "WAS" 4 5 0
"Ray Allen" "01-02" 27 "2002-01-12" "MIL" "NYK" 8 13 0
"Ray Allen" "01-02" 28 "2002-01-15" "MIL" "IND" 4 5 0
"Ray Allen" "01-02" 29 "2002-01-16" "MIL" "IND" 7 9 0
"Ray Allen" "01-02" 30 "2002-01-18" "MIL" "ORL" 6 8 0
"Ray Allen" "01-02" 31 "2002-01-19" "MIL" "ATL" 5 10 0
"Ray Allen" "01-02" 32 "2002-01-21" "MIL" "DET" 3 8 0
"Ray Allen" "01-02" 33 "2002-01-22" "MIL" "PHO" 0 5 0
"Ray Allen" "01-02" 34 "2002-01-24" "MIL" "SEA" 1 10 0
"Ray Allen" "01-02" 35 "2002-01-26" "MIL" "NYK" 4 9 0
"Ray Allen" "01-02" 36 "2002-01-29" "MIL" "BOS" 3 7 0
"Ray Allen" "01-02" 37 "2002-01-31" "MIL" "NJN" 3 4 0
"Ray Allen" "01-02" 38 "2002-02-02" "MIL" "PHI" 2 8 0
"Ray Allen" "01-02" 39 "2002-02-07" "MIL" "MEM" 3 8 0
"Ray Allen" "01-02" 40 "2002-02-12" "MIL" "CHI" 4 9 0
"Ray Allen" "01-02" 41 "2002-02-13" "MIL" "CLE" 3 9 0
"Ray Allen" "01-02" 42 "2002-02-15" "MIL" "MIA" 4 10 0
"Ray Allen" "01-02" 43 "2002-02-17" "MIL" "TOR" 2 9 0
"Ray Allen" "01-02" 44 "2002-02-18" "MIL" "CHH" 7 14 0
"Ray Allen" "01-02" 45 "2002-02-20" "MIL" "HOU" 3 4 0
"Ray Allen" "01-02" 46 "2002-02-22" "MIL" "GSW" 3 5 0
"Ray Allen" "01-02" 47 "2002-02-24" "MIL" "DET" 3 6 0
"Ray Allen" "01-02" 48 "2002-02-26" "MIL" "LAL" 3 4 0
"Ray Allen" "01-02" 49 "2002-02-27" "MIL" "BOS" 4 9 0
"Ray Allen" "01-02" 50 "2002-03-02" "MIL" "POR" 2 6 0
"Ray Allen" "01-02" 51 "2002-03-03" "MIL" "CLE" 4 10 0
"Ray Allen" "01-02" 52 "2002-03-05" "MIL" "NYK" 1 4 0
"Ray Allen" "01-02" 53 "2002-03-06" "MIL" "LAC" 4 6 0
"Ray Allen" "01-02" 54 "2002-03-08" "MIL" "CLE" 4 9 0
"Ray Allen" "01-02" 55 "2002-03-10" "MIL" "SAC" 2 8 0
"Ray Allen" "01-02" 56 "2002-03-12" "MIL" "CHI" 4 7 0
"Ray Allen" "01-02" 57 "2002-03-16" "MIL" "DET" 1 11 0
"Ray Allen" "01-02" 58 "2002-03-18" "MIL" "CHH" 3 7 0
"Ray Allen" "01-02" 59 "2002-03-19" "MIL" "ORL" 4 9 0
"Ray Allen" "01-02" 60 "2002-03-22" "MIL" "NJN" 2 4 0
"Ray Allen" "01-02" 61 "2002-03-24" "MIL" "ORL" 2 4 0
"Ray Allen" "01-02" 62 "2002-04-05" "MIL" "MIA" 2 7 0
"Ray Allen" "01-02" 63 "2002-04-07" "MIL" "PHI" 5 13 0
"Ray Allen" "01-02" 64 "2002-04-09" "MIL" "PHI" 3 7 0
"Ray Allen" "01-02" 65 "2002-04-10" "MIL" "CLE" 3 8 0
"Ray Allen" "01-02" 66 "2002-04-12" "MIL" "IND" 4 10 0
"Ray Allen" "01-02" 67 "2002-04-14" "MIL" "CHH" 10 14 0
"Ray Allen" "01-02" 68 "2002-04-16" "MIL" "TOR" 4 9 0
"Ray Allen" "01-02" 69 "2002-04-17" "MIL" "DET" 2 4 0
"Ray Allen" "05-06" 1 "2005-11-02" "SEA" "LAC" 5 10 0
"Ray Allen" "05-06" 2 "2005-11-04" "SEA" "MIN" 3 13 0
"Ray Allen" "05-06" 3 "2005-11-08" "SEA" "MEM" 1 6 0
"Ray Allen" "05-06" 4 "2005-11-09" "SEA" "CLE" 6 8 0
"Ray Allen" "05-06" 5 "2005-11-11" "SEA" "WAS" 1 9 0
"Ray Allen" "05-06" 6 "2005-11-13" "SEA" "TOR" 0 6 0
"Ray Allen" "05-06" 7 "2005-11-15" "SEA" "NJN" 1 8 0
"Ray Allen" "05-06" 8 "2005-11-16" "SEA" "BOS" 4 6 0
"Ray Allen" "05-06" 9 "2005-11-18" "SEA" "CHI" 4 8 0
"Ray Allen" "05-06" 10 "2005-11-20" "SEA" "SAC" 5 13 0
"Ray Allen" "05-06" 11 "2005-11-22" "SEA" "UTA" 2 10 0
"Ray Allen" "05-06" 12 "2005-11-24" "SEA" "LAL" 3 7 0
"Ray Allen" "05-06" 13 "2005-11-26" "SEA" "NOK" 1 6 0
"Ray Allen" "05-06" 14 "2005-11-30" "SEA" "CHA" 4 9 0
"Ray Allen" "05-06" 15 "2005-12-02" "SEA" "CLE" 4 10 0
"Ray Allen" "05-06" 16 "2005-12-04" "SEA" "IND" 3 9 0
"Ray Allen" "05-06" 17 "2005-12-06" "SEA" "NYK" 3 12 0
"Ray Allen" "05-06" 18 "2005-12-09" "SEA" "UTA" 2 11 0
"Ray Allen" "05-06" 19 "2005-12-10" "SEA" "SAC" 2 10 0
"Ray Allen" "05-06" 20 "2005-12-13" "SEA" "GSW" 7 10 0
"Ray Allen" "05-06" 21 "2005-12-15" "SEA" "HOU" 4 9 0
"Ray Allen" "05-06" 22 "2005-12-16" "SEA" "POR" 5 7 0
"Ray Allen" "05-06" 23 "2005-12-19" "SEA" "WAS" 2 6 0
"Ray Allen" "05-06" 24 "2005-12-20" "SEA" "PHO" 4 10 0
"Ray Allen" "05-06" 25 "2005-12-23" "SEA" "DAL" 1 7 0
"Ray Allen" "05-06" 26 "2005-12-26" "SEA" "BOS" 0 7 0
"Ray Allen" "05-06" 27 "2005-12-28" "SEA" "MIN" 4 6 0
"Ray Allen" "05-06" 28 "2005-12-29" "SEA" "DEN" 8 14 0
"Ray Allen" "05-06" 29 "2005-12-31" "SEA" "MEM" 4 9 0
"Ray Allen" "05-06" 30 "2006-01-02" "SEA" "IND" 3 9 0
"Ray Allen" "05-06" 31 "2006-01-04" "SEA" "CHI" 4 6 0
"Ray Allen" "05-06" 32 "2006-01-06" "SEA" "DET" 4 7 0
"Ray Allen" "05-06" 33 "2006-01-08" "SEA" "NYK" 4 13 0
"Ray Allen" "05-06" 34 "2006-01-09" "SEA" "PHI" 5 11 0
"Ray Allen" "05-06" 35 "2006-01-11" "SEA" "ORL" 0 1 0
"Ray Allen" "05-06" 36 "2006-01-20" "SEA" "TOR" 4 10 0
"Ray Allen" "05-06" 37 "2006-01-22" "SEA" "PHO" 8 16 0
"Ray Allen" "05-06" 38 "2006-01-25" "SEA" "UTA" 5 6 0
"Ray Allen" "05-06" 39 "2006-01-26" "SEA" "DAL" 2 11 0
