GAME_ID,PLAYER_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,ACTION_TYPE,SHOT_TYPE,LOC_X,LOC_Y,SHOT_MADE_FLAG
21500003,Stephen Curry,1,10,56,Cutting Finger Roll Layup Shot,2PT Field Goal,1.2,3.1,TRUE
21500003,Stephen Curry,1,10,29,Jump Shot,3PT Field Goal,-17.6,19.5,FALSE
21500003,Stephen Curry,1,9,34,Layup Shot,2PT Field Goal,2,0.9,FALSE
21500003,Stephen Curry,1,9,13,Jump Shot,3PT Field Goal,-19.7,19.3,TRUE
21500003,Stephen Curry,1,7,11,Running Layup Shot,2PT Field Goal,-0.4,0.8,TRUE
21500003,Stephen Curry,1,6,45,Jump Shot,3PT Field Goal,-1.1,25.9,TRUE
21500003,Stephen Curry,1,5,50,Jump Shot,2PT Field Goal,-11.7,18.8,TRUE
21500003,Stephen Curry,1,5,3,Jump Shot,3PT Field Goal,-17.9,22.8,TRUE
21500003,Stephen Curry,1,3,57,Step Back Jump shot,3PT Field Goal,8.9,23.9,TRUE
21500003,Stephen Curry,1,3,6,Jump Shot,3PT Field Goal,-15.6,23.2,FALSE
21500003,Stephen Curry,1,2,45,Driving Finger Roll Layup Shot,2PT Field Goal,-1.9,2.1,TRUE
21500003,Stephen Curry,1,0,45,Driving Layup Shot,2PT Field Goal,1.2,1.8,TRUE
21500003,Stephen Curry,1,0,1,Jump Shot,3PT Field Goal,-18.6,34.5,FALSE
21500003,Stephen Curry,2,6,3,Jump Shot,3PT Field Goal,16.4,18.5,FALSE
21500003,Stephen Curry,2,4,54,Fadeaway Bank shot,2PT Field Goal,-9.6,8.5,TRUE
21500003,Stephen Curry,2,2,11,Jump Shot,3PT Field Goal,16.6,17.4,FALSE
21500003,Stephen Curry,2,1,16,Pullup Jump shot,3PT Field Goal,20.4,15.1,FALSE
21500003,Stephen Curry,2,0,0,Driving Finger Roll Layup Shot,2PT Field Goal,-0.9,0.8,TRUE
21500003,Stephen Curry,3,10,7,Driving Finger Roll Layup Shot,2PT Field Goal,1,1.1,TRUE
21500003,Stephen Curry,3,7,35,Cutting Finger Roll Layup Shot,2PT Field Goal,-0.7,1.3,TRUE
