GAME_ID	PLAYER_NAME	PERIOD	MINUTES_REMAINING	SECONDS_REMAINING	ACTION_TYPE	SHOT_TYPE	LOC_X	LOC_Y	SHOT_MADE_FLAG
21000001	LeBron James	1	10	53	Pullup Jump shot	2PT Field Goal	14.4	13.5	TRUE
21000001	LeBron James	1	10	2	Jump Shot	2PT Field Goal	-15.2	10.7	FALSE
21000001	LeBron James	1	8	43	Jump Shot	2PT Field Goal	-19	0.4	TRUE
21000001	LeBron James	1	6	52	Jump Shot	2PT Field Goal	10.8	18.3	FALSE
21000001	LeBron James	1	5	12	Layup Shot	2PT Field Goal	0.1	-1.4	FALSE
21000001	LeBron James	1	1	17	Running Jump Shot	2PT Field Goal	4.7	5.6	FALSE
21000001	LeBron James	1	0	47	Jump Shot	2PT Field Goal	14.3	16.5	FALSE
21000001	LeBron James	2	3	1	Jump Shot	2PT Field Goal	6.4	20.6	TRUE
21000001	LeBron James	2	0	52	Dunk Shot	2PT Field Goal	-0.4	0.4	TRUE
21000001	LeBron James	3	7	48	Jump Shot	3PT Field Goal	-19.3	14.8	FALSE
21000001	LeBron James	3	6	58	Jump Shot	3PT Field Goal	-23.1	-0.3	TRUE
21000001	LeBron James	3	5	17	Layup Shot	2PT Field Goal	0.4	-0.3	FALSE
21000001	LeBron James	3	4	0	Layup Shot	2PT Field Goal	-0.8	0.6	FALSE
21000001	LeBron James	3	2	56	Jump Shot	3PT Field Goal	15.5	19.4	TRUE
21000001	LeBron James	3	2	19	Pullup Jump shot	2PT Field Goal	6.1	20.9	TRUE
21000001	LeBron James	3	0	21	Driving Layup Shot	2PT Field Goal	0.2	-0.3	TRUE
21000001	LeBron James	4	11	25	Jump Shot	3PT Field Goal	15.4	18.7	FALSE
21000001	LeBron James	4	5	11	Jump Shot	2PT Field Goal	5.9	21.7	FALSE
21000001	LeBron James	4	2	25	Jump Shot	3PT Field Goal	14.6	20	TRUE
21000001	LeBron James	4	1	57	Jump Shot	3PT Field Goal	9.7	23.8	FALSE
21000001	LeBron James	4	1	10	Driving Layup Shot	2PT Field Goal	-0.8	-0.6	TRUE
21000006	LeBron James	1	7	27	Driving Layup Shot	2PT Field Goal	-0.5	0.7	TRUE
21000006	LeBron James	1	4	14	Jump Shot	2PT Field Goal	13.8	8.8	FALSE
21000006	LeBron James	1	1	1	Running Bank shot	2PT Field Goal	-1.1	3.7	TRUE
21000006	LeBron James	1	0	0	Jump Shot	3PT Field Goal	-6.8	41.3	FALSE
21000006	LeBron James	2	2	20	Jump Shot	2PT Field Goal	0	19.2	FALSE
21000006	LeBron James	3	6	22	Driving Reverse Layup Shot	2PT Field Goal	-0.5	1.1	TRUE
21000006	LeBron James	3	5	41	Dunk Shot	2PT Field Goal	-0.8	0.6	FALSE
21000006	LeBron James	3	5	20	Running Jump Shot	2PT Field Goal	-1.5	5.6	TRUE
21000006	LeBron James	3	4	2	Jump Shot	2PT Field Goal	-5.2	16.8	FALSE
21000006	LeBron James	3	1	7	Jump Shot	3PT Field Goal	-15.3	20.5	FALSE
21000006	LeBron James	4	1	10	Running Jump Shot	2PT Field Goal	-1	4.7	TRUE
21000006	LeBron James	4	0	48	Layup Shot	2PT Field Goal	0	0.7	FALSE
21000025	LeBron James	1	9	11	Jump Shot	3PT Field Goal	17.1	19.8	TRUE
21000025	LeBron James	1	8	11	Jump Shot	2PT Field Goal	2.1	22.2	TRUE
21000025	LeBron James	1	7	3	Jump Shot	2PT Field Goal	16.6	9.6	FALSE
21000025	LeBron James	1	1	23	Turnaround Jump Shot	2PT Field Goal	-10.5	15.3	FALSE
21000025	LeBron James	1	0	40	Floating Jump shot	2PT Field Goal	5	3.7	FALSE
21000025	LeBron James	1	0	1	Jump Shot	3PT Field Goal	-4.5	25.7	FALSE
21000025	LeBron James	2	1	47	Jump Shot	2PT Field Goal	7.8	14.6	FALSE
21000025	LeBron James	3	11	36	Jump Shot	3PT Field Goal	-17.5	17.2	TRUE
21000025	LeBron James	3	9	17	Jump Shot	2PT Field Goal	6.4	10.8	TRUE
21000025	LeBron James	3	8	55	Jump Shot	2PT Field Goal	1.8	9.1	TRUE
21000025	LeBron James	3	5	49	Jump Shot	2PT Field Goal	-16	14	FALSE
21000025	LeBron James	4	6	45	Jump Shot	2PT Field Goal	18.4	4.2	TRUE
21000025	LeBron James	4	6	1	Jump Shot	2PT Field Goal	12.9	18.9	FALSE
21000040	LeBron James	1	10	58	Alley Oop Layup shot	2PT Field Goal	2.3	0.3	TRUE
21000040	LeBron James	1	9	28	Jump Shot	3PT Field Goal	12.9	24.7	FALSE
21000040	LeBron James	1	7	16	Driving Slam Dunk Shot	2PT Field Goal	2.1	0.1	TRUE
21000040	LeBron James	2	11	11	Turnaround Jump Shot	2PT Field Goal	-4.9	13.2	FALSE
21000040	LeBron James	2	7	28	Driving Layup Shot	2PT Field Goal	-0.4	1.5	TRUE
21000040	LeBron James	2	7	13	Dunk Shot	2PT Field Goal	1.2	2.5	TRUE
21000040	LeBron James	2	6	9	Driving Layup Shot	2PT Field Goal	-1.6	0.4	FALSE
21000040	LeBron James	3	8	18	Jump Shot	3PT Field Goal	-22.6	1.4	FALSE
21000040	LeBron James	3	6	54	Jump Shot	3PT Field Goal	9.9	23.3	FALSE
21000040	LeBron James	3	6	4	Layup Shot	2PT Field Goal	-2.3	1.4	TRUE
21000040	LeBron James	3	0	3	Fadeaway Bank shot	2PT Field Goal	-9.7	4.8	FALSE
21000040	LeBron James	4	9	36	Jump Shot	3PT Field Goal	-0.7	26.5	FALSE
21000050	LeBron James	1	9	51	Jump Shot	2PT Field Goal	-13.6	14.8	FALSE
21000050	LeBron James	1	4	58	Jump Shot	3PT Field Goal	-18.2	15.6	FALSE
21000050	LeBron James	1	0	54	Fadeaway Jump Shot	2PT Field Goal	-11.9	2.8	FALSE
21000050	LeBron James	2	0	43	Driving Layup Shot	2PT Field Goal	-1.5	1.5	TRUE
21000050	LeBron James	3	9	12	Layup Shot	2PT Field Goal	2	0.3	TRUE
21000050	LeBron James	3	8	8	Driving Layup Shot	2PT Field Goal	0	1.5	TRUE
21000050	LeBron James	3	4	44	Fadeaway Jump Shot	2PT Field Goal	20.3	0.7	TRUE
21000050	LeBron James	3	3	50	Turnaround Jump Shot	2PT Field Goal	-11.1	13.7	TRUE
21000050	LeBron James	3	2	51	Jump Shot	3PT Field Goal	-12.2	21.6	FALSE
21000050	LeBron James	3	2	45	Jump Shot	2PT Field Goal	-4	7.5	FALSE
21000050	LeBron James	3	0	33	Jump Shot	2PT Field Goal	-16.1	15.4	TRUE
21000050	LeBron James	3	0	0	Jump Shot	2PT Field Goal	-9.2	17.2	TRUE
21000075	LeBron James	1	8	35	Jump Shot	2PT Field Goal	1.3	22.2	FALSE
21000075	LeBron James	1	6	47	Driving Layup Shot	2PT Field Goal	0	2	TRUE
21000075	LeBron James	1	5	28	Jump Shot	3PT Field Goal	-23.9	3.6	TRUE
21000075	LeBron James	1	5	7	Jump Shot	2PT Field Goal	14.7	1.2	FALSE
21000075	LeBron James	1	0	36	Jump Shot	2PT Field Goal	-7.9	6.9	FALSE
21000075	LeBron James	2	8	41	Jump Shot	2PT Field Goal	8.4	14.2	FALSE
21000075	LeBron James	2	8	4	Driving Layup Shot	2PT Field Goal	-0.2	2.8	TRUE
21000075	LeBron James	2	1	26	Jump Shot	2PT Field Goal	-19.4	9.1	TRUE
21000075	LeBron James	2	0	53	Driving Dunk Shot	2PT Field Goal	-1.8	0.6	TRUE
21000075	LeBron James	3	8	59	Jump Shot	2PT Field Goal	14.3	12.6	TRUE
21000075	LeBron James	3	8	24	Jump Shot	2PT Field Goal	-16.1	0.6	FALSE
21000075	LeBron James	3	3	24	Jump Shot	2PT Field Goal	12.4	13.2	FALSE
21000075	LeBron James	3	2	10	Jump Shot	2PT Field Goal	9.2	2.8	FALSE
21000075	LeBron James	4	10	45	Jump Shot	2PT Field Goal	-9.2	2	FALSE
21000075	LeBron James	4	9	11	Jump Shot	3PT Field Goal	-21	13.8	FALSE
21000075	LeBron James	4	3	43	Jump Shot	2PT Field Goal	-2.6	1.5	FALSE
21000082	LeBron James	1	10	8	Jump Shot	3PT Field Goal	11.6	22.8	FALSE
21000082	LeBron James	1	7	0	Jump Shot	2PT Field Goal	-14.9	13.2	FALSE
21000082	LeBron James	1	5	55	Driving Layup Shot	2PT Field Goal	-3.2	2	TRUE
21000082	LeBron James	1	5	25	Driving Slam Dunk Shot	2PT Field Goal	1.1	0.9	TRUE
21000082	LeBron James	1	1	24	Alley Oop Dunk Shot	2PT Field Goal	2.1	0.9	FALSE
21000082	LeBron James	1	0	48	Driving Dunk Shot	2PT Field Goal	0.1	1.1	TRUE
21000082	LeBron James	2	9	25	Jump Shot	2PT Field Goal	3.6	21.7	FALSE
21000082	LeBron James	2	3	23	Jump Shot	2PT Field Goal	13.3	15.4	FALSE
21000082	LeBron James	2	3	9	Slam Dunk Shot	2PT Field Goal	-0.8	1.4	TRUE
21000082	LeBron James	3	7	45	Driving Layup Shot	2PT Field Goal	0.1	2	TRUE
21000082	LeBron James	3	4	42	Driving Layup Shot	2PT Field Goal	2.3	0.7	TRUE
21000082	LeBron James	3	2	50	Alley Oop Dunk Shot	2PT Field Goal	-1.1	1.1	TRUE
21000082	LeBron James	3	1	57	Jump Shot	3PT Field Goal	18.9	17	FALSE
21000082	LeBron James	3	0	27	Jump Shot	3PT Field Goal	-17.4	17.8	TRUE
21000082	LeBron James	3	0	1	Jump Shot	3PT Field Goal	18.4	18.6	TRUE
21000082	LeBron James	4	11	47	Fadeaway Jump Shot	2PT Field Goal	-16.4	8.9	FALSE
21000103	LeBron James	1	8	27	Reverse Layup Shot	2PT Field Goal	2.4	1.2	TRUE
21000103	LeBron James	1	5	5	Jump Shot	2PT Field Goal	0.2	20.6	TRUE
21000103	LeBron James	1	3	57	Jump Shot	2PT Field Goal	12.5	17	FALSE
21000103	LeBron James	1	2	26	Jump Shot	2PT Field Goal	10.2	16.4	FALSE
21000103	LeBron James	1	1	38	Running Hook Shot	2PT Field Goal	8.6	8.2	FALSE
21000103	LeBron James	2	11	15	Fadeaway Jump Shot	2PT Field Goal	2.1	7.4	FALSE
21000103	LeBron James	2	10	36	Jump Shot	2PT Field Goal	-16	13.5	FALSE
21000103	LeBron James	2	2	12	Driving Layup Shot	2PT Field Goal	-2.7	2	FALSE
21000103	LeBron James	3	8	50	Jump Shot	2PT Field Goal	14.7	16	FALSE
21000103	LeBron James	3	6	52	Layup Shot	2PT Field Goal	-0.8	1.5	TRUE
21000103	LeBron James	3	5	13	Jump Shot	2PT Field Goal	2.6	2.6	FALSE
21000103	LeBron James	3	5	9	Layup Shot	2PT Field Goal	-0.5	3.3	FALSE
21000103	LeBron James	3	4	8	Driving Layup Shot	2PT Field Goal	-2.3	1.7	TRUE
21000103	LeBron James	3	0	53	Driving Layup Shot	2PT Field Goal	2	1.9	FALSE
21000103	LeBron James	3	0	46	Jump Shot	3PT Field Goal	14.6	20.6	FALSE
